,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
821,8,0.07971014492753623,0.007246376811594203,0.07971014492753623,0.3840579710144928,0.1956521739130435,72160.81884057971,1028.2826086956522,154.81884057971016,6.0,33.0,10.623188405797102,70.89855072463769,0.07272681107987529,0.0,81,69
824,8,0.1875,0.0,0.1875,0.0,0.0,887.25,1016.125,13.375,1.0,4.0,10.8125,64.6875,0.5536312432959676,0.0,8,3
825,8,1.0,0.0,1.0,0.0,0.0,5.0,41.0,0.0,0.0,1.0,15.0,99.0,0.0,0.0,38,31
826,8,0.25,0.0,0.25,0.75,0.0,1137.5,281.75,13.25,0.0,1.0,15.5,95.75,0.6199000030755997,0.25,6,6
828,8,0.75,0.0,0.75,2.5,3.5,1758.5,1613.0,31.0,2.0,3.0,18.0,109.75,0.6450750082731247,0.0,72,34
830,8,1.2,0.2,1.2,1.0,2.0,4609.6,1151.2,45.4,1.0,5.0,16.4,115.0,0.2537600100040436,2.4,4,4
832,8,0.8,0.2,0.8,2.2,0.0,801.4,700.4,9.4,1.0,4.0,18.6,110.8,0.01697999835014343,0.0,54,45
834,8,0.375,0.125,0.375,1.375,2.5,1776.75,1808.25,8.0,1.0,3.0,21.875,117.5,0.4400124937528744,0.0,13,6
841,8,1.0,0.0,1.0,2.0,0.0,285.0,645.0,0.0,0.0,1.0,14.0,96.0,0.0,0.0,30,25
843,8,1.0,0.0,1.0,0.0,0.0,426.0,505.0,0.0,0.0,2.0,19.0,116.0,0.0,0.0,36,30
845,8,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1369.888888888889,1517.888888888889,10.777777777777779,3.0,8.0,20.777777777777782,120.66666666666669,0.012311112549569871,0.0,22,19
846,8,1.0,0.0,1.0,0.0,0.0,247.5,439.0,0.0,0.0,2.0,14.0,96.0,0.5543000102043152,1.0,85,73
849,8,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,2850.7272727272725,879.7272727272727,33.59090909090909,0.0,6.0,16.09090909090909,99.86363636363636,0.22479999844323506,0.5909090909090909,7,7
851,8,1.0,0.0,1.0,0.0,0.0,484.0,186.0,2.0,0.0,1.0,13.0,85.0,0.4587999880313873,0.0,16,14
858,8,0.6666666666666666,0.1111111111111111,0.6666666666666666,1.2222222222222223,1.5555555555555556,985.8888888888887,989.4444444444445,18.222222222222218,4.0,6.0,16.11111111111111,99.77777777777777,0.18882222142484453,0.1111111111111111,75,63
859,8,0.25,0.03571428571428571,0.25,0.0,0.03571428571428571,737.4642857142858,755.5714285714287,7.0,2.0,8.0,16.5,89.7857142857143,0.0653892835336072,0.07142857142857142,32,27
863,8,1.0,0.0,1.0,0.0,0.0,171.0,383.5,1.0,0.0,2.0,13.5,88.5,0.0,0.0,62,52
867,8,0.6,0.0,0.6,0.0,0.0,1521.8,1692.8,2.0,2.0,3.0,18.8,112.2,0.22486000061035155,0.0,28,20
868,8,0.5,0.0,0.5,2.5,0.0,127.0,106.5,1.0,0.0,2.0,18.0,132.5,0.2293999940156937,0.0,89,25
876,8,0.0,0.0,0.0,0.0,0.0,2003.5,456.1,22.6,0.0,0.0,26.4,131.6,0.3672300040721893,0.0,68,57
877,8,1.0,0.0,1.0,0.0,0.0,807.0,2212.0,14.0,0.0,1.0,14.0,75.0,0.0,0.0,90,76
884,8,0.1564245810055866,0.0111731843575419,0.1564245810055866,1.1089385474860336,0.4608938547486034,719.4050279329608,646.477653631285,5.773743016759776,53.0,129.0,21.441340782122904,124.46648044692738,0.5599955319733926,0.446927374301676,17,15
886,8,1.2,0.4,1.2,3.8,0.6,4214.2,1224.8,109.4,1.0,5.0,18.4,126.6,0.1607599973678589,0.0,23,9
891,8,0.0,0.0,0.0,0.0,0.0,340.0,266.25,0.5,0.0,0.0,10.5,53.5,0.25907500088214874,0.5,87,38
892,8,1.0,0.0,1.0,0.0,0.0,3.0,28.0,0.0,1.0,1.0,25.0,140.0,0.7839999794960022,0.0,91,77
897,8,0.16,0.0,0.16,0.12,0.0,495.08,470.92,9.36,4.0,8.0,17.4,90.24,0.19383200287818908,0.12,92,78
899,8,0.0,0.0,0.0,0.0,0.0,1346.6666666666667,456.66666666666674,28.33333333333333,0.0,3.0,20.166666666666668,109.33333333333331,0.098983330031236,1.0,73,61
901,9,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,19.0,98.0,0.4587999880313873,0.0,0,0
903,9,0.375,0.0,0.375,1.375,0.2916666666666667,30884.70833333333,12948.583333333336,215.04166666666663,1.0,9.0,16.708333333333332,98.125,0.2675166614353657,0.04166666666666666,1,1
906,9,0.10932139794168096,0.002224485420240137,0.10932139794168096,0.4449238850771869,0.01187285591766724,1176.6013614922813,785.3087210548885,5.804459691252143,247.0,8381.0,21.815260506003426,130.03020475986278,0.36585654178394666,0.7346162092624356,49,40
910,9,0.08695652173913042,0.0,0.08695652173913042,0.0,0.0,3895.8260869565215,1649.3478260869565,41.869565217391305,1.0,4.0,21.73913043478261,130.3913043478261,-0.012200003084929092,1.2608695652173914,3,3
911,9,1.0,0.5,1.0,0.5,1.0,1562.0,507.5,28.5,1.0,1.0,19.0,108.5,-0.0004999935626983644,0.0,5,5
915,9,0.0,0.0,0.0,0.0,0.0,658.0,478.0,1.0,0.0,0.0,7.0,39.0,0.0,3.0,52,43
916,9,1.0,0.0,1.0,1.0,0.0,660.0,685.0,5.0,0.0,1.0,17.0,90.0,0.17790000140666962,0.0,29,24
918,9,0.02564102564102564,0.0,0.02564102564102564,0.8717948717948718,0.008547008547008548,244.51282051282055,297.61538461538464,2.299145299145299,2.0,22.0,20.21367521367521,110.55555555555556,0.5011948643522894,0.034188034188034185,9,8
920,9,0.12658227848101267,0.02531645569620253,0.12658227848101267,0.10126582278481013,0.08860759493670886,2276.772151898734,1802.6708860759495,66.92405063291139,3.0,18.0,24.69620253164557,128.77215189873414,0.3111974699776384,0.21518987341772156,82,70
922,9,0.75,0.0,0.75,1.25,0.0,690.0,1453.75,14.0,0.0,3.0,15.75,104.75,0.09030000120401382,0.0,54,45
924,9,0.8,0.8,0.8,1.6,1.6,963.8,1471.0,4.8,2.0,4.0,17.0,103.0,0.6959400057792664,0.2,72,34
925,9,1.0,0.6,1.0,1.0,1.0,417.0,690.2,3.8,2.0,4.0,17.4,104.2,0.4133400022983551,0.6,38,31
927,9,1.0,0.0,1.0,0.5,0.0,2755.0,2786.5,4.0,0.0,2.0,18.0,115.0,0.31845000386238104,0.0,33,2
928,9,1.0,0.0,1.0,0.0,0.0,1219.0,2344.0,3.0,0.0,1.0,11.0,72.0,0.0,1.0,42,35
929,9,0.2307692307692308,0.0,0.2307692307692308,0.2307692307692308,0.0,1020.8461538461537,643.5769230769231,5.6923076923076925,1.0,6.0,14.076923076923075,89.03846153846153,0.3286384639258568,0.3076923076923077,81,69
930,9,0.3,0.1,0.3,0.6,0.0,2703.9,616.4,22.3,2.0,6.0,18.5,109.4,0.7088600009679794,0.4,8,3
932,9,1.181818181818182,0.3636363636363637,1.181818181818182,0.9090909090909092,1.0,3779.2727272727284,1877.0,61.72727272727273,3.0,11.0,17.818181818181817,113.36363636363636,0.10044545206156644,0.3636363636363637,4,4
933,9,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,2.6666666666666665,2107.333333333333,2099.333333333333,28.0,2.0,2.0,23.0,137.66666666666666,0.7679333289464315,0.0,6,6
935,9,0.5,0.25,0.5,1.5,1.75,532.0,1338.5,32.25,1.0,3.0,20.75,111.5,0.2200749963521957,0.0,13,6
944,9,1.0,0.0,1.0,6.0,0.0,1024.0,945.0,19.0,0.0,1.0,17.0,126.0,0.0,0.0,30,25
947,9,0.17647058823529413,0.0,0.17647058823529413,0.14705882352941174,0.2058823529411765,10719.05882352941,1680.1470588235293,62.11764705882353,1.0,15.0,20.235294117647054,118.35294117647058,0.052247059257591474,0.35294117647058826,7,7
952,9,0.5,0.0,0.5,0.0,0.0,353.75,1351.0,4.0,0.0,3.0,19.75,111.5,0.3623500019311905,0.5,22,19
954,9,0.75,0.0,0.75,0.0,0.0,1249.25,1569.5,16.5,0.0,3.0,18.75,107.5,0.5223499983549118,0.0,16,14
956,9,0.5,0.0,0.5,0.0,0.0,327.5,347.0,2.75,0.0,3.0,18.5,111.0,0.551425002515316,0.0,89,25
959,9,0.0,0.0,0.0,2.4285714285714284,0.0,965.4285714285713,622.0,15.285714285714285,0.0,0.0,15.857142857142858,104.85714285714286,0.4531999954155514,0.5714285714285714,75,63
960,9,0.25,0.0,0.25,0.0,0.0,9840.75,288.25,89.25,1.0,1.0,21.0,121.5,0.4314000047743321,9.0,2,2
963,9,0.2352941176470588,0.0,0.2352941176470588,0.17647058823529413,0.0,430.8235294117647,439.05882352941177,3.1764705882352944,2.0,7.0,18.647058823529417,113.52941176470587,-0.06721764802932739,3.7647058823529416,32,27
964,9,1.0,0.0,1.0,0.0,0.0,194.0,382.0,9.0,0.0,1.0,12.0,88.0,0.0,0.0,62,52
971,9,1.0,0.0,1.0,2.2222222222222223,0.0,3314.888888888889,1859.4444444444446,61.22222222222222,1.0,9.0,15.666666666666664,107.66666666666669,0.08738888634575738,0.0,28,20
974,9,0.0,0.0,0.0,0.0,0.0,831.0,383.0,2.0,0.0,0.0,12.0,47.0,0.5070000290870667,0.0,68,57
976,9,0.0,0.0,0.0,0.0,0.0,38.0,113.0,0.0,0.0,0.0,20.0,113.0,0.6622999906539917,0.0,63,53
978,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,399.0,300.3333333333333,10.0,0.0,1.0,21.0,109.33333333333331,0.1562000016371409,0.0,91,77
980,9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,573.3333333333334,461.66666666666674,5.333333333333333,0.0,1.0,18.666666666666668,104.66666666666669,-0.011599997679392496,0.6666666666666666,93,79
987,9,0.21073558648111326,0.003976143141153081,0.21073558648111326,1.073558648111332,0.6978131212723658,450.06361829025843,498.16699801192846,3.37972166998012,98.0,214.0,22.4831013916501,124.05566600397613,0.5705797277079899,0.1172962226640159,17,15
